CMI,CMI2021,เชียงใหม่,แม่ริม,โป่งแยง,18.89016,98.84571,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2030,เชียงใหม่,หางดง,หนองตอง,18.61654,98.95545,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2053,เชียงใหม่,ดอยสะเก็ด,เชิงดอย,18.8725,99.13195,5,Active,, Active , Active , Active , Active 
CMI,CMI2115,เชียงใหม่,ไชยปราการ,หนองบัว,19.72965,99.13844,5,Active, Active , Active , Active ,, Active 
CMI,CMI2116,เชียงใหม่,ฝาง,เวียง,19.9168,99.20951,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2118,เชียงใหม่,พร้าว,เวียง,19.3718,99.2012,4,Active,, Active , Active ,, Active 
CMI,CMI2250,เชียงใหม่,เชียงดาว,เชียงดาว,19.3665,98.9613,4,Active,, Active , Active ,, Active 
CMI,CMI2251,เชียงใหม่,แม่อาย,มะลิกา,20.0364,99.3026,4,Active,, Active , Active ,, Active 
CMI,CMI2381,เชียงใหม่,สะเมิง,สะเมิงใต้,18.8563,98.7304,4,Active,, Active , Active ,, Active 
CMI,CMI2600,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.81044,98.94783,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2699,เชียงใหม่,แม่ออน,ห้วยแก้ว,18.86586,99.35579,6,Active, Active , Active , Active , Active , Active 
CMI,CMI3010,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,19.01778,99.30689,2,Active,,,,, Active 
CMI,CMI3012,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,18.9619,99.2356,3,Active, Active ,,,, Active 
CMI,CMI3015,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,18.99,99.2733,3,Active, Active ,,,, Active 
CMI,CMI3017,เชียงใหม่,สันกำแพง,ร้องวัวแดง,18.7414,99.1963,4,Active,, Active , Active ,, Active 
CMI,CMI3117,เชียงใหม่,ฝาง,แม่สูน,19.81107,99.16655,4,Active,, Active , Active ,, Active 
CMI,CMI3186,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,18.91572,99.23225,2,Active,,,,, Active 
CMI,CMI3189,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,19.06134,99.36284,3,Active, Active ,,,, Active 
CMI,CMI5500,เชียงใหม่,สันทราย,แม่แฝกใหม่,18.96524,98.98592,5,Active,, Active , Active , Active , Active 
CMI,CMI5506,เชียงใหม่,แม่ออน,บ้านสหกรณ์,18.79561,99.24625,2,Active,,,,, Active 
CMI,CMI5507,เชียงใหม่,สันกำแพง,ห้วยทราย,18.77247,99.15461,5,Active, Active , Active , Active ,, Active 
CMI,CMI5508,เชียงใหม่,สันป่าตอง,สันกลาง,18.66904,98.8806,2,,, Active , Active ,,
CMI,CMI5520,เชียงใหม่,ดอยสะเก็ด,ลวงเหนือ,18.90934,99.13422,3,Active, Active ,,,, Active 
CMI,CMI5566,เชียงใหม่,จอมทอง,แม่สอย,18.29267,98.65364,2,,, Active , Active ,,
CMI,CMI5607,เชียงใหม่,แม่แตง,แม่หอพระ,19.06966,99.07933,2,Active,,,,, Active 
CMI,CMI5670,เชียงใหม่,อมก๋อย,แม่ตื่น,17.4448,98.36014,2,,, Active , Active ,,
CMI,CMI6100,เชียงใหม่,เชียงดาว,เมืองงาย,19.51337,98.78943,2,Active,,,,, Active 
CMI,CMI6101,เชียงใหม่,เมืองเชียงใหม่,หนองป่าครั่ง,18.79264,99.03864,5, Active ,, Active , Active , Active , Active 
CMI,CMI6103,เชียงใหม่,แม่ออน,ห้วยแก้ว,18.8924,99.35133,2,, Active ,,,, Active 
CMI,CMI6107,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.78841,98.92356,3,Active, Active ,,,, Active 
CMI,CMI6108,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.79675,98.9232,3,Active, Active ,,,, Active 
CMI,CMI6109,เชียงใหม่,สันกำแพง,ต้นเปา,18.74903,99.08926,6,Active, Active , Active , Active , Active , Active 
CMI,CMI6114,เชียงใหม่,ฝาง,แม่งอน,19.87118,99.04417,3,Active, Active ,,,, Active 
CMI,CMI6120,เชียงใหม่,จอมทอง,บ้านหลวง,18.49501,98.66852,3,Active, Active ,,,, Active 
CMI,CMI6121,เชียงใหม่,จอมทอง,บ้านหลวง,18.49973,98.66828,5,Active, Active , Active , Active ,, Active 
CMI,CMI6122,เชียงใหม่,จอมทอง,บ้านหลวง,18.54195,98.59198,3,Active, Active ,,,, Active 
CMI,CMI6123,เชียงใหม่,แม่แจ่ม,ท่าผา,18.52591,98.49946,3,Active, Active ,,,, Active 
CMI,CMI6134,เชียงใหม่,ฮอด,บ่อสลี,18.10408,98.21649,3,Active, Active ,,,, Active 
CMI,CMI6137,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79537,98.96956,1,, Active ,,,,
CMI,CMI6170,เชียงใหม่,ดอยเต่า,โปงทุ่ง,17.89324,98.80488,1,, Active ,,,,
CMI,CMI6176,เชียงใหม่,เมืองเชียงใหม่,วัดเกต,18.78525,99.00514,1,, Active ,,,,
CMI,CMI6177,เชียงใหม่,สันทราย,แม่แฝกใหม่,18.96524,98.98592,1,, Active ,,,,
